,timestamp,active_power,reactive_power,tri_1,tri_2,tri_3
0,2013-03-22 22:01:52,84.867471,314.15,0.1209379799,0.3733436845,0.1969175845
1,2013-04-12 20:11:31,80.289896,317.5,0.0801484994,0.4428409531,0.2346419922
2,2013-05-08 21:02:06,86.555411,263.331778,0.1391711141,0.2992183395,0.1510100495
3,2013-05-10 21:44:53,69.606026,215.313917,0.1037246122,0.4250989477,0.2121398764
4,2013-05-10 18:58:59,102.776811,262.401819,0.1541649532,0.2785737543,0.1898986063
5,2013-05-14 17:01:57,69.294801,295.040474,0.1018860414,0.4116097672,0.2410836807
6,2013-05-14 20:06:02,69.54699,299.336535,0.06567421274,0.4512263596,0.2077769038
7,2013-05-16 20:42:14,77.208829,308.642652,0.05560175478,0.4453765759,0.2503631542
8,2013-05-19 18:45:49,240.500525,1042.677881,0.1428906103,0.2754814047,0.1905293683
9,2013-05-18 20:57:57,93.064066,275.780125,0.09046846125,0.2686666086,0.2002044059
