,timestamp,active_power,reactive_power,tri_1,tri_2,tri_3
0,2013-03-28 00:48:58,211.165939,105.768783,0.01564584191,0.5874011845,0.2256492145
1,2013-03-28 07:01:31,249.943094,131.113684,0.049861944,0.5705315881,0.2051412558
2,2013-04-02 00:16:40,634.141099,995.681904,0.05117703324,0.3477502008,0.1606474552
3,2013-04-03 01:02:58,623.525021,987.734665,0.05113933798,0.3409838913,0.155749907
4,2013-04-04 03:52:44,621.24989,972.744023,0.05034466753,0.3440239518,0.1613066873
5,2013-03-28 01:49:26,623.501656,994.63853,0.04776221708,0.3338848628,0.1576766647
6,2013-03-28 03:11:48,621.176314,996.747338,0.04856821348,0.3307572807,0.1584886285
7,2013-03-28 04:17:08,626.088913,997.618745,0.0504941022,0.3475164982,0.3475164982
8,2013-03-28 05:40:18,624.999001,989.285,0.04792038347,0.3368921763,0.1532856752
9,2013-03-28 06:46:50,623.418365,989.796734,0.04941282827,0.3441070619,0.160508583
